employee_id,country,department,job_level,work_mode,tenure_years,annual_salary_eur,productivity_score,satisfaction_score,annual_cost_saving_eur,meetings_per_week,commute_hours_pw
GE-0001,Germany,Product Management,Mid,Fully Remote,1.7,60342.0,6.05,7.61,12000.0,14,0.0
GE-0002,Germany,Product Management,Junior,In-Office,5.8,56582.0,7.77,8.11,0.0,15,3.6865001635778514
GE-0003,Germany,Data & Analytics,Junior,Hybrid,6.1,74674.0,9.86,6.85,6000.0,8,2.3246274774614397
GE-0004,Germany,Product Management,Lead,Hybrid,1.7,62644.0,9.21,6.14,6000.0,6,1.5788817899364165
GE-0005,Germany,Product Management,Lead,Fully Remote,2.2,56558.0,8.91,5.23,12000.0,15,0.0
GE-0006,Germany,Engineering,Senior,Fully Remote,1.3,82177.0,6.39,3.85,12000.0,10,0.0
GE-0007,Germany,HR & Ops,Senior,Fully Remote,9.4,83455.0,5.81,9.88,12000.0,5,0.0
GE-0008,Germany,Sales,Junior,In-Office,0.5,57194.0,7.05,4.85,0.0,13,7.79736091477706
GE-0009,Germany,HR & Ops,Junior,Hybrid,9.5,40735.0,7.67,7.07,6000.0,13,2.6728843849397395
GE-0010,Germany,Sales,Senior,Hybrid,4.0,78098.0,8.91,6.98,6000.0,17,2.4407679971728915
GE-0011,Germany,Engineering,Mid,Fully Remote,2.7,56100.0,4.97,7.26,12000.0,3,0.0
GE-0012,Germany,Product Management,Senior,In-Office,0.5,75278.0,9.04,7.72,0.0,5,6.546944109121931
GE-0013,Germany,Product Management,Lead,In-Office,2.3,39389.0,7.01,7.79,0.0,17,6.528176981844908
GE-0014,Germany,Sales,Mid,Fully Remote,1.8,76604.0,6.49,5.93,12000.0,3,0.0
GE-0015,Germany,HR & Ops,Senior,Fully Remote,0.6,49255.0,5.79,6.55,12000.0,9,0.0
GE-0016,Germany,Data & Analytics,Mid,Fully Remote,3.7,74500.0,5.01,7.22,12000.0,16,0.0
GE-0017,Germany,Data & Analytics,Junior,Fully Remote,12.4,65186.0,7.99,6.43,12000.0,8,0.0
GE-0018,Germany,Product Management,Senior,Hybrid,2.9,52599.0,7.69,9.81,6000.0,6,1.46614562378167
GE-0019,Germany,Product Management,Senior,Hybrid,4.4,59709.0,6.05,8.14,6000.0,15,1.5965449084682455
GE-0020,Germany,Sales,Junior,Fully Remote,0.5,73922.0,5.45,7.9,12000.0,16,0.0
GE-0021,Germany,HR & Ops,Mid,Hybrid,1.9,66377.0,7.2,8.39,6000.0,3,1.1123240198066262
GE-0022,Germany,HR & Ops,Mid,Fully Remote,0.5,72597.0,9.0,8.56,12000.0,15,0.0
GE-0023,Germany,Data & Analytics,Junior,Fully Remote,3.3,90694.0,6.69,7.07,12000.0,9,0.0
GE-0024,Germany,Sales,Junior,Fully Remote,9.8,44665.0,5.2,4.85,12000.0,15,0.0
GE-0025,Germany,Engineering,Junior,Hybrid,3.8,86024.0,7.31,8.0,6000.0,10,1.7935101129110587
GE-0026,Germany,Data & Analytics,Junior,Hybrid,0.5,66357.0,7.27,6.42,6000.0,16,2.7383497148061746
GE-0027,Germany,Sales,Mid,Fully Remote,1.5,53316.0,3.76,6.01,12000.0,15,0.0
GE-0028,Germany,Sales,Lead,Hybrid,2.8,47706.0,7.53,8.28,6000.0,7,2.6405066378897795
GE-0029,Germany,Data & Analytics,Senior,Hybrid,1.8,62541.0,7.32,9.26,6000.0,13,1.9160572331677372
GE-0030,Germany,Data & Analytics,Junior,Fully Remote,6.3,76981.0,7.84,6.83,12000.0,6,0.0
GE-0031,Germany,Sales,Senior,Hybrid,5.9,63342.0,9.82,7.86,6000.0,16,2.1921002315219003
GE-0032,Germany,Engineering,Mid,Fully Remote,3.3,84645.0,8.35,9.35,12000.0,6,0.0
GE-0033,Germany,Product Management,Junior,Fully Remote,1.6,46135.0,6.68,7.16,12000.0,10,0.0
GE-0034,Germany,Engineering,Mid,In-Office,1.0,64843.0,5.87,10.0,0.0,11,3.5270264297808347
GE-0035,Germany,Product Management,Lead,In-Office,0.5,48719.0,10.0,7.35,0.0,8,6.711461157434735
GE-0036,Germany,Sales,Junior,In-Office,1.5,69727.0,7.27,3.86,0.0,16,7.38096239134778
GE-0037,Germany,Engineering,Junior,Fully Remote,1.9,76530.0,7.02,7.93,12000.0,3,0.0
GE-0038,Germany,HR & Ops,Mid,Fully Remote,3.9,59530.0,6.97,7.37,12000.0,4,0.0
GE-0039,Germany,Product Management,Mid,Hybrid,3.8,31145.0,7.84,9.33,6000.0,3,2.4374362265244045
GE-0040,Germany,Engineering,Senior,Hybrid,0.5,67586.0,7.43,8.41,6000.0,14,2.9886606053714297
GE-0041,Germany,Data & Analytics,Junior,Fully Remote,1.8,70678.0,6.31,6.59,12000.0,12,0.0
GE-0042,Germany,Engineering,Mid,Hybrid,0.7,70256.0,6.94,5.56,6000.0,4,1.9044049582070774
GE-0043,Germany,Engineering,Mid,Fully Remote,0.6,81065.0,6.96,6.49,12000.0,9,0.0
GE-0044,Germany,Sales,Mid,In-Office,6.1,51076.0,6.55,5.22,0.0,17,6.865917506293791
GE-0045,Germany,Product Management,Junior,Fully Remote,0.5,73843.0,6.14,5.93,12000.0,4,0.0
GE-0046,Germany,Data & Analytics,Junior,Hybrid,1.9,80503.0,7.73,8.28,6000.0,9,1.9664641517508703
GE-0047,Germany,Data & Analytics,Senior,Fully Remote,0.6,41878.0,6.69,9.3,12000.0,8,0.0
GE-0048,Germany,Data & Analytics,Mid,Hybrid,7.4,69155.0,9.4,7.99,6000.0,16,1.797284988426128
GE-0049,Germany,Data & Analytics,Junior,Hybrid,2.8,58446.0,4.42,5.61,6000.0,7,2.0693218461510474
GE-0050,Germany,Engineering,Junior,Fully Remote,0.9,63940.0,8.31,7.47,12000.0,14,0.0
GE-0051,Germany,Data & Analytics,Junior,In-Office,2.4,69520.0,8.7,8.29,0.0,5,3.091375348617531
GE-0052,Germany,HR & Ops,Lead,Hybrid,4.6,58666.0,5.11,6.49,6000.0,8,2.983778391894983
GE-0053,Germany,Engineering,Junior,In-Office,11.1,56216.0,6.79,6.3,0.0,17,3.9246014873357216
GE-0054,Germany,Engineering,Mid,In-Office,0.9,65444.0,6.75,6.52,0.0,5,4.816363981994497
GE-0055,Germany,Sales,Lead,Hybrid,7.6,50866.0,5.91,6.22,6000.0,6,2.6157312913679625
GE-0056,Germany,Product Management,Mid,In-Office,9.5,50884.0,6.27,7.47,0.0,4,7.199988803021717
GE-0057,Germany,Data & Analytics,Mid,Fully Remote,8.7,73832.0,5.67,6.62,12000.0,3,0.0
GE-0058,Germany,Engineering,Lead,Fully Remote,3.5,50066.0,9.1,7.43,12000.0,10,0.0
GE-0059,Germany,Product Management,Senior,Fully Remote,3.5,73662.0,8.12,5.47,12000.0,5,0.0
GE-0060,Germany,Engineering,Junior,Fully Remote,1.8,71014.0,8.53,6.14,12000.0,5,0.0
GE-0061,Germany,Data & Analytics,Junior,Hybrid,4.9,42565.0,8.47,8.48,6000.0,6,2.7293047092054916
GE-0062,Germany,Sales,Junior,Fully Remote,2.7,56192.0,5.65,6.24,12000.0,3,0.0
GE-0063,Germany,Product Management,Senior,In-Office,4.0,80523.0,6.57,9.09,0.0,14,5.200355375332492
GE-0064,Germany,Data & Analytics,Mid,Fully Remote,2.0,52245.0,7.59,6.2,12000.0,3,0.0
GE-0065,Germany,HR & Ops,Manager,Fully Remote,4.6,58963.0,5.53,7.14,12000.0,13,0.0
GE-0066,Germany,Engineering,Lead,Hybrid,6.1,71007.0,8.46,8.8,6000.0,9,2.9615876108291697
GE-0067,Germany,Sales,Mid,Fully Remote,0.6,75184.0,6.71,4.67,12000.0,17,0.0
GE-0068,Germany,Data & Analytics,Mid,In-Office,6.3,61730.0,6.75,3.86,0.0,6,6.772684579512303
